Task ID,Start Time,End Time
8769001d-8c4c-4628-ae62-5dc09369fcc2,00:21:30,01:00:34
8769001d-8c4c-4628-ae62-5dc09369fcc3,00:23:34,01:34:56
8769001d-8c4c-4628-ae62-5dc09369fcc4,00:25:38,02:09:18
8769001d-8c4c-4628-ae62-5dc09369fcc5,00:27:42,02:43:40
8769001d-8c4c-4628-ae62-5dc09369fcc6,00:29:46,03:18:02
8769001d-8c4c-4628-ae62-5dc09369fcc7,00:31:50,03:52:24
8769001d-8c4c-4628-ae62-5dc09369fcc8,00:33:54,04:26:46
8769001d-8c4c-4628-ae62-5dc09369fcc9,00:35:58,05:01:08
8769001d-8c4c-4628-ae62-5dc09369fcc10,00:38:02,05:35:30
8769001d-8c4c-4628-ae62-5dc09369fcc11,00:40:06,06:09:52
8769001d-8c4c-4628-ae62-5dc09369fcc12,00:42:10,06:44:14
8769001d-8c4c-4628-ae62-5dc09369fcc13,00:44:14,07:18:36
8769001d-8c4c-4628-ae62-5dc09369fcc14,00:46:18,07:52:58
8769001d-8c4c-4628-ae62-5dc09369fcc15,00:48:22,08:27:20
8769001d-8c4c-4628-ae62-5dc09369fcc16,00:50:26,09:01:42
8769001d-8c4c-4628-ae62-5dc09369fcc17,00:52:30,09:36:04
8769001d-8c4c-4628-ae62-5dc09369fcc18,00:54:34,10:10:26
8769001d-8c4c-4628-ae62-5dc09369fcc19,00:56:38,10:44:48
8769001d-8c4c-4628-ae62-5dc09369fcc20,00:58:42,11:19:10
8769001d-8c4c-4628-ae62-5dc09369fcc21,01:00:46,11:53:32
